Genes,Metabolism,Cysteine and methionine metabolism,L1CAM interactions,Glycolysis and gluconeogenesis,Recycling pathway of cell adhesion molecule L1,Unwinding of DNA,DNA strand elongation,One-carbon metabolism,Tricarboxylic acid (TCA) cycle and respiratory electron transport,CDK regulation of DNA replication,RhoA signaling pathway,Pyruvate metabolism,Apoptotic execution  phase,Amino acid metabolism,Sulfur amino acid metabolism,Cytosolic tRNA aminoacylation,Axon guidance,"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Glycolysis,Arachidonate epoxygenase/epoxide hydrolase pathway,Neurofascin interactions,NrCAM interactions,Folate metabolism,Activation of the pre-replicative complex,Prostaglandin biosynthesis and regulation,G1 to S cell cycle control,"Glycine, serine and threonine metabolism",Propanoate metabolism,Phase II of biological oxidations: conjugation,Fructose and mannose metabolism,Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway,Methylation,G13 signaling pathway,"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",Caspase-mediated cleavage of cytoskeletal proteins,G2/M checkpoints,EGF/EGFR signaling pathway,Activation of DNA fragmentation factor,Developmental biology,Interleukin-2 signaling pathway,DNA replication,Transfer RNA aminoacylation,Translation,Diurnally regulated genes with circadian orthologs,Deadenylation-dependent mRNA decay,Cell-extracellular matrix interactions,Glyoxylate and dicarboxylate metabolism,Hypoxia-inducible factor in the cardivascular system,Actin cytoskeleton regulation,Synaptic proteins at the synaptic junction,"Unblocking of NMDA receptor, glutamate binding and activation",Ras activation upon calcium influx through NMDA receptor,Tryptophan metabolism,Golgi-associated vesicle biogenesis,RNA degradation,S phase,Licensing factor removal from origins,Gene expression,BDNF signaling pathway,Lysosome vesicle biogenesis,FSH regulation of apoptosis,Influenza viral RNA transcription and replication,Phosphoinositides and their downstream targets,Spliceosome,Nucleotide metabolism,Cell-cell communication,Ascorbate and aldarate metabolism,Selenoamino acid metabolism,Glucuronidation,Gastric acid secretion,Messenger RNA processing,Mitotic G1-G1/S phases,Oxidative phosphorylation,Biological oxidations,Activation of kainate receptors upon glutamate binding,Glutamate binding and activation of AMPA receptors and synaptic plasticity,Cardiac muscle contraction,Gluconeogenesis,Signaling by Robo receptor,Cell junction organization,mRNA stability regulation by proteins that bind AU-rich elements,EGFR1 pathway,DNA replication pre-Initiation,Disease,Activation of NMDA receptor upon glutamate binding and postsynaptic events,Pyruvate metabolism and citric acid (TCA) cycle,T cell receptor regulation of apoptosis,Glyoxylate metabolism,Nifedipine activity,Plasma membrane estrogen receptor signaling,Bioactive peptide-induced signaling pathway,Messenger RNA splicing: minor pathway,Insulin secretion regulation by glucagon-like peptide-1,Electron transport chain,ADP signalling through P2Y purinoceptor 1,Pyrimidine biosynthesis,G beta-gamma signaling through PI3K gamma,Methionine salvage pathway,Multi-drug resistance factors,Amino sugar and nucleotide sugar metabolism,Cytoplasmic ribosomal proteins,Protein metabolism,LKB1 signaling events
CAMK2A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0040065964424969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006877312024858715,0.008563998802236471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017558050364689826,NA,NA,NA,NA,NA,0.02066149553282785,NA,NA,NA,NA,NA,NA,NA,NA,0.030590322748681478,NA,NA,NA,NA,NA,0.036951320322312485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012222052267206048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009102543666778058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01514591831300889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBR1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDH13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02447341666432229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CELF2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01765298062431735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLIC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01320863301927489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COX5A,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308113120163274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01850908263958806,NA,NA,NA,0.02155514988447129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04309520585522911,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9151213429866e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00341934827151681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCX,NA,NA,6.299808378179526e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.192595792582219e-4,NA,NA,NA,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041152480491620826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01320863301927489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDAH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
