sample	tp	cell_type	YFP
DCX_YFP(+)_tp2_s.1	2	DCX	+
DCX_YFP(+)_tp2_s.2	2	DCX	+
DCX_YFP(+)_tp3_s.1	3	DCX	+
DCX_YFP(+)_tp3_s.3	3	DCX	+
DCX_YFP(+)_tp1_s.1	1	DCX	+
DCX_YFP(+)_tp1_s.2	1	DCX	+
DCX_YFP(+)_tp1_s.3	1	DCX	+
SOX2_YFP(+)_tp1_s.1	1	SOX2	+
SOX2_YFP(+)_tp1_s.2	1	SOX2	+
SOX2_YFP(+)_tp1_s.3	1	SOX2	+
SOX2_YFP(+)_tp2_s.1	2	SOX2	+
SOX2_YFP(+)_tp2_s.2	2	SOX2	+
SOX2_YFP(+)_tp2_s.3	2	SOX2	+
