1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
DPYSL4	24.61346817	24.54392052	24.4368248	24.709198	25.16065598	24.30973244	24.77741051	24.77645683	24.33067131	24.57905579	25.33090973	25.00204468	24.00152779	24.28291512	24.90825272	24.83088875	24.20142365	24.75087929	24.80464363	24.79129028	24.63815498	23.99524498	23.691576	25.04493523	25.05548286	25.00036812	24.46257591	24.73737717	23.58691978	23.621315	23.77796173	24.3561554	25.01435661	23.86485863	23.57865334	23.77916527	23.99049187	24.53409576	24.64619827	24.63815498	24.04576874	23.27682304	23.1558094	24.55408859	24.71151161	24.09030914	25.12170982	24.76845169
NCAN	24.81367302	24.74524689	23.98589706	24.0914402	24.51695251	25.63616371	25.23542213	25.10920715	23.98346329	26.87490463	25.73791885	26.0105629	24.73127747	22.80130196	26.11432076	24.81004906	24.99498558	24.26492119	24.08691216	26.07577896	25.80311584	25.05353737	25.02985382	26.56585693	25.82713699	25.2781353	24.24394417	25.21100235	25.11382294	24.06956291	24.10461617	24.74586296	25.43272018	24.28355026	23.10101318	19.42194939	26.5677433	25.42242813	25.74144554	22.54893684	24.39551735	22.23052025	24.32875633	24.62109184	24.74355316	22.96900368	26.38671494	24.65305138
EIF1AX	20.18893814	20.71330643	20.56866837	20.5551548	20.40789795	20.60240936	20.54623222	20.56709099	20.78652191	20.22369576	20.71908379	20.25609589	21.4582386	23.65763664	20.94091606	21.36938286	21.40519905	20.7431221	20.56838989	20.67684937	20.74205208	20.84674454	20.75621414	21.75966454	20.44515991	19.07252884	20.98849869	20.70463562	20.93668175	20.80230904	21.07300186	20.63289642	20.47555733	21.20764923	20.79447556	21.09481049	20.375494	20.76376915	20.74451828	20.08695412	20.80561829	20.97519302	20.27109909	20.4122467	20.50057411	20.61342239	20.85581779	20.29865837
PDCD5	25.69932938	25.21600914	24.30298805	24.28227806	24.41008759	23.2196312	24.86797142	25.10401535	25.10369682	21.47852516	19.27060509	24.38000679	25.46166992	19.48260307	24.2669239	23.66925621	23.90352631	25.43326187	24.50881577	25.0723877	24.73008537	24.20582962	24.95278168	25.49445152	24.58233261	20.11686707	24.30806732	24.39165497	21.89285851	25.88629913	25.38686371	23.73871803	24.1865406	25.4815464	26.07956696	25.40213776	24.98198318	25.92671394	25.94661522	20.39525414	24.77414513	24.72520447	24.61935806	24.44581795	23.17750549	25.9096489	24.45444107	23.29754066
SLC9A3R1	23.18472672	23.76900673	22.15789223	21.84643936	23.13724327	20.85178566	23.28616142	23.03741455	22.44967651	23.21230316	21.5378685	20.20834541	20.90146446	22.27156067	22.72496414	19.43282509	19.62511253	20.21896935	23.71208954	21.52926636	22.57265282	22.18564796	22.01021194	22.14183235	20.98245239	19.75087547	21.5866909	22.3956356	20.52525711	22.89400673	23.36345863	21.18350029	19.45770454	19.7992115	22.60582542	22.7768383	21.39749146	19.39051628	19.80111694	20.36300468	20.14011765	22.54417992	22.10744476	23.20253181	22.89030075	22.36551666	23.20099068	20.08496094
TPP1	22.4432888	20.99279213	20.85292816	20.65333557	20.81440735	19.64814377	19.63362503	20.12825584	20.22987556	22.51566505	20.14357758	19.7694397	20.24260712	20.91692352	21.46777153	20.41235161	20.31007957	20.8877449	24.03414345	20.08773994	22.08118629	20.20000267	20.52267265	22.97100449	19.30264473	20.3459053	19.78155136	19.87441635	20.1612606	19.31509781	20.08890533	19.91683578	19.45529175	20.35210991	21.4567852	21.05311394	21.82049751	19.51050186	19.73719025	20.819561	20.53554535	20.56958771	22.31041336	22.41763878	20.56608391	19.86654663	22.03741455	20.6253624
TCERG1	21.20895767	19.57991028	21.09474564	20.72770119	20.35470963	21.77655602	21.32481956	19.60754013	21.5853157	21.22771263	21.81456375	19.87696838	22.58813286	22.21195984	20.04920769	21.99900055	21.69947815	20.85454178	21.61378288	20.75041199	21.1487999	19.89399147	20.20715523	20.30966949	21.74382019	20.40292931	19.64802742	21.46921158	21.70269394	21.46796989	20.27456284	21.81558037	20.26957893	19.3786602	20.32125092	21.89029121	20.88895226	20.44740486	19.97226143	20.80766487	21.66717529	20.24868965	21.80282021	19.77317619	19.91000557	20.92576027	20.66989326	19.87096786
PSMA7	22.18582916	19.72574043	22.57697105	22.83986282	22.81946373	19.75248718	21.57961655	22.51410103	22.14706039	22.73088455	22.6545372	22.48182869	22.65272331	22.8236866	22.75668335	23.11540413	23.09137535	23.57172585	21.47798157	20.3781662	21.98794365	22.44420052	22.8850193	22.6587925	23.22274399	19.42810631	22.60363197	22.60455894	22.74835205	20.28064156	21.64737511	23.57530975	23.01723099	23.53041077	22.93615913	22.71137428	22.70788383	24.02681732	23.30563354	22.31487274	22.83720779	23.19635963	23.21424484	19.92860031	20.30336952	22.65331268	22.83196259	23.32113457
CASK	21.48856163	20.97819901	21.40509605	21.49843216	22.91741562	20.7997818	21.56560326	20.55037117	20.27907944	22.44781113	18.79605865	22.35563087	21.28438377	20.67089844	22.48118782	21.69136429	22.07021904	21.37867165	21.40358925	21.43613815	21.63935852	20.20299339	21.31534195	22.16867256	21.81295967	23.18617821	19.58651543	21.77587318	20.66657066	21.22381973	20.92426491	19.9144001	22.66579056	21.02796555	20.55257034	19.96983337	21.56862259	21.39492989	22.66209984	21.1932106	21.72463226	22.18131638	21.48340416	21.38136673	19.67409897	20.85580635	22.0638485	23.03659248
MYL12A	23.21215439	23.22777557	23.92098045	22.64339447	22.59192657	22.5937748	23.16666794	23.77796173	23.71313858	22.86585808	23.27980042	20.70985794	23.62823105	24.16675949	23.23122406	23.72910118	23.82561111	23.20626259	23.21470451	23.03128433	23.4596405	24.0587883	23.59753036	22.47439575	23.01967621	22.89550591	22.94984627	22.3208046	23.29235458	23.75867653	24.09587288	24.06422806	23.76060677	23.99014473	23.66296959	24.20463753	23.37039375	23.72369576	23.17401886	23.9234314	23.12488365	24.35299301	24.04460144	23.62243271	24.18601227	23.8454628	22.74404716	23.75358391
HNRNPDL	20.60424995	20.504879	22.70782089	20.92046738	22.90148354	18.97261429	22.86742401	18.31299782	23.38903236	20.84159088	19.06992912	19.33144379	23.42431831	23.68442345	23.29305649	23.93885422	23.96261024	23.16324615	22.91739655	22.95491219	20.83021927	23.09608078	23.3899498	20.15280342	18.98496056	20.65542984	22.87549019	20.61019135	24.12683678	22.80939102	23.50845337	23.00213051	20.71809959	24.28693771	22.87962723	23.85205269	22.93565559	23.60930252	21.99896622	19.95112419	23.25493813	20.30016327	20.05409813	19.86572647	20.01110649	20.02700996	22.33265305	22.39427567
SYN3	19.88883781	20.35029602	20.01367188	20.88665771	21.42028999	20.13855171	20.57657242	19.31495285	19.99417496	21.76340485	19.61231232	21.25124359	21.16631508	19.13444519	20.54573059	19.19047737	18.71386528	22.02691841	20.55971909	21.86158752	20.3639946	18.95022774	20.39316559	22.32561684	19.53754425	21.85798645	21.71406174	19.53545761	19.77950478	20.16222572	19.59562111	20.57034492	21.47827721	21.13589668	19.55104065	20.94109154	21.93268585	21.06503868	21.70197487	20.48620224	19.99807549	20.68249893	20.35369873	19.76391602	20.39155769	19.28511429	21.66183853	20.95773125
SPTBN2	20.50496101	19.42995262	20.92549706	20.65158463	22.29415131	24.14250374	22.3840313	21.77735901	20.29849243	21.14177132	21.15146446	21.79721069	21.80392456	19.8709774	21.23432541	21.00360489	19.72807884	21.08589172	22.12839508	22.27486229	22.00847054	21.18876076	20.1187439	19.79200172	22.66763306	20.88732719	22.18912315	20.61862946	22.97978783	19.7737751	19.91028214	20.69843102	21.1884594	20.15242195	19.36658859	18.37766457	21.48865318	20.25826073	20.51883698	19.64728928	20.46768379	20.07401276	22.86844254	20.37166977	21.03539658	19.88994026	20.10115242	20.47066498
SYNM	22.68938065	20.65794754	19.98776627	21.01366043	22.96024323	20.45562935	22.58586693	19.04394722	19.35386848	23.23590469	19.63027954	22.95462799	21.45146179	19.59830284	22.17733765	18.72954941	22.61961555	23.50154495	21.64063835	21.15853119	22.39294052	19.96268272	21.42705154	21.13578415	19.9583416	21.0579834	19.41018867	23.38534927	19.65187263	23.98884583	22.69748497	19.6118927	22.20606804	19.37793159	19.98744774	19.95159721	19.92192268	20.23485374	22.19041824	19.35808945	23.33415413	20.52026367	23.45613289	23.33919334	19.33440399	20.1969738	23.04196548	24.01205635
DCLK1	23.28982353	23.5861187	22.74365616	24.25587463	24.35944366	24.42534447	23.43999672	23.63942528	22.94229507	24.14864349	24.16844368	24.18070984	23.18475533	23.18384743	23.30563354	24.0277462	23.50008774	23.81274414	23.51436615	23.85119438	23.82861519	23.40561485	23.98858643	23.41118813	24.76086044	24.96300697	23.88110352	24.59832573	25.00864029	23.63975525	23.62522316	25.04497719	25.49777412	24.38053513	20.18815422	19.51950836	23.02191353	23.95721817	24.16300011	23.02948189	24.3011055	20.80303574	23.63300705	24.19302368	24.24583054	23.99256706	24.2186718	25.63342285
ARPC2	20.35829163	19.29418182	20.39181519	21.6452198	21.94001961	21.66179466	19.9823761	21.86506653	21.38500786	19.94874382	21.75405312	21.85075569	21.913311	21.93441582	22.29395485	22.3877964	22.48113823	22.01794434	21.96634865	20.42610168	20.37146568	19.64169884	22.02485847	21.77877998	21.65573883	22.91734314	22.27042007	21.90767479	22.21234703	20.06798935	19.53824043	22.13072205	22.1544342	20.17980003	21.53198051	19.93910599	20.54886246	21.50479698	20.47457504	22.05434036	20.33283997	20.47319221	20.37673569	20.99288177	21.03281021	19.42210388	20.15825272	18.94912529
ARPC3	19.40642548	19.93055916	19.94085503	19.54579353	19.35321426	22.3264389	19.87264824	20.84758568	19.68395615	21.52525711	20.91531944	22.182621	19.83872032	19.46434593	21.15041161	20.28956413	20.10499954	22.55140495	22.51472664	22.86782074	22.65355301	18.94723701	20.3778553	22.59304428	22.48718834	22.38181686	22.36519623	22.48630524	19.0813446	21.38711357	20.46229553	21.76870537	22.19017792	23.56964302	22.03905487	20.0712719	22.28251839	20.32782936	22.43537521	21.01651955	22.29431915	23.14247131	20.80252647	20.21785545	20.43658066	19.92585564	20.45433807	20.57728386
PGRMC2	24.06365204	23.3249855	23.59400177	23.41144562	23.36693001	23.0249939	23.49448204	23.55672264	23.84766388	22.91137505	23.50954056	23.10263062	22.84485054	23.43898201	22.90094948	23.52025414	23.73840904	22.91985321	23.22721863	22.69644547	23.20462227	23.47889519	23.40041161	22.6511898	23.25666618	22.89605904	23.07198715	22.89520836	23.16642189	24.26327324	23.98363686	23.4719677	23.38719177	23.37822151	23.75378799	24.0669384	22.64420891	23.64405441	23.38258171	22.90352631	22.8608284	23.43568039	23.8773632	23.78146744	23.92632866	23.80055237	23.14148903	23.43338966
PFDN6	22.26507759	22.18761253	20.45765877	20.09452438	20.76921844	20.32614708	22.6333828	21.95336723	21.80364799	21.86635017	22.82104301	22.22811317	22.64231491	22.73545647	22.51741982	22.67374802	22.52955246	22.40631676	22.62294579	21.56453514	21.97172546	21.85802269	21.66635323	22.54517174	22.2951889	20.40696716	22.59215546	22.40330315	22.17383575	22.30846977	22.20353127	22.30176163	22.3077755	22.56999016	20.53863144	20.24661827	22.96618843	23.27511787	23.65927124	22.64886665	21.98971176	22.09490585	22.33311653	21.45833778	22.49125671	20.80927467	22.61896515	21.25327492
VGF	21.4425087	19.83696556	19.02949142	22.1073494	22.1206665	20.27660561	20.5299263	18.73966599	20.23109436	24.34095955	19.79591942	20.41485405	20.70666122	20.24612236	23.2198391	21.26984978	20.88844299	23.35272408	21.36938286	21.38748169	20.304739	21.31453514	21.54961967	23.57010651	21.59204102	23.21065331	22.28695107	21.89044762	19.67698669	22.57001305	17.68035507	23.0012188	22.41882324	21.98488808	20.42388344	19.26102448	24.90660286	20.01998138	23.97875786	21.87278748	22.32709694	20.45241737	22.20230675	21.8425312	19.76954842	21.81568909	23.0824852	21.80451584
HMGB3	19.02936554	19.99394417	20.22647667	20.48316765	20.6465416	19.3917675	20.24019623	19.63846016	24.27972984	18.98192215	23.7684021	20.30957985	23.92061615	24.79694366	20.1631813	24.92429161	24.68394279	23.55987549	20.28031731	20.02461433	23.31962013	24.20134926	23.95340347	19.76964188	19.87163734	19.39912415	19.90670967	20.53821754	23.87333298	23.88994789	19.93007469	23.83566666	20.3403244	24.1747036	19.68745613	24.44082069	19.97083855	23.72785568	20.08611107	19.62796974	20.55669975	20.23074722	19.47213745	20.30095673	20.34887314	22.9799614	19.81947708	23.88231659
NCAM2	20.21682549	19.375597	19.92940903	19.44220924	19.99352837	21.0342598	19.40079117	19.61335754	19.49452591	23.67022896	20.02965164	20.28031158	20.16619301	19.477005	22.02357292	19.78354073	22.27909279	19.69729424	19.03372955	19.23140526	19.79038239	19.93953705	20.4198494	22.73326492	20.08921814	22.2413559	20.06333542	20.74999046	19.57952499	19.62268639	19.26410866	20.23522186	22.4690876	21.91738319	21.63439369	19.5444355	22.4423275	20.10347748	22.40332794	20.50122833	20.24300385	20.26219177	20.16007996	22.38189507	20.51472282	21.30040932	24.02115059	20.11290741
STX7	22.89977074	23.59809875	23.56975746	23.39073753	23.82967949	24.06915474	23.77645683	23.40301704	22.80579567	23.51833344	24.34658432	24.20336723	24.21645355	23.97875786	23.30910873	24.22787857	24.58388329	23.27270126	23.51941299	23.8773632	23.73293495	23.33456421	24.52534103	23.90802383	24.13014221	24.50403404	23.86938286	24.46656418	24.22707176	24.33005524	23.27965927	24.24684525	24.6145916	24.85000229	23.51869392	23.81880188	23.92895126	24.84933472	24.88962173	23.8179245	24.47314453	23.81743622	23.78336716	23.79302788	24.08172226	23.45261955	23.84947777	24.76845169
YKT6	21.685215	19.19218636	20.5069046	22.16901016	21.99033546	22.11021996	22.30251312	22.08128357	22.22820282	21.40124702	22.67695618	22.52248192	22.01876068	19.74276352	21.98426247	21.58439827	22.27289963	22.04610252	21.91641235	22.09239197	22.06440926	21.94685173	22.18522453	22.08556747	22.44932365	22.62976456	22.46896362	20.38620186	22.04022598	22.599823	19.81828117	22.7797451	22.62435341	21.98252296	21.7132225	20.68811989	20.80281448	22.17733765	22.71753693	21.01928902	22.20487595	20.16500282	20.35741425	20.37998009	19.28829956	19.64663887	20.33958435	23.02946663
FABP7	29.55000877	28.69819641	27.49815559	26.59605217	27.47985077	27.31440926	29.17605209	28.26055717	27.48569679	26.652668	27.47884941	27.91826439	29.65037537	27.63996315	27.27426529	27.75512695	28.51020622	25.38682938	25.99265289	28.05263519	28.51254272	26.0520649	26.52742958	26.58462906	26.34649849	26.14228821	26.36529541	26.89746857	27.471735	29.62496758	26.02189255	27.89388657	26.68645668	28.93432808	29.20590019	25.21330452	27.37641716	27.00367355	26.90127182	26.42191315	27.63304901	28.53267097	26.53359222	26.64855957	29.0510807	26.54114532	26.9307785	27.96532249
DHX15	22.01539421	22.50348854	22.29846382	22.09348869	21.83626366	22.24455261	21.94792175	22.44652367	22.17139435	19.59302902	19.71563148	18.4338665	22.29151154	23.43733215	21.47253799	19.36390495	19.80250931	21.90058136	22.34182739	21.98547935	22.37755966	22.28113174	22.34905624	20.73322487	22.28692245	21.06507874	22.35318184	21.86412048	22.05675697	22.10178185	22.12126732	19.64156914	19.79430771	22.35708237	22.08556747	22.09571075	20.83221245	21.91199684	21.73181534	19.45565033	20.2910614	20.5172348	22.09384346	21.37167549	22.08082771	22.57989502	20.37869263	22.05039406
