Genes,focal adhesion (GO:0005925),cell-substrate junction (GO:0030055),intracellular non-membrane-bounded organelle (GO:0043232),vesicle (GO:0031982),cytoskeleton (GO:0005856),neuron projection (GO:0043005),cortical cytoskeleton (GO:0030863),CMG complex (GO:0071162),asymmetric synapse (GO:0032279),nucleus (GO:0005634),filopodium (GO:0030175),polymeric cytoskeletal fiber (GO:0099513),intracellular membrane-bounded organelle (GO:0043231),actin-based cell projection (GO:0098858),postsynaptic density (GO:0014069),actin cytoskeleton (GO:0015629),microvillus (GO:0005902),dendrite (GO:0030425),U12-type spliceosomal complex (GO:0005689),membrane raft (GO:0045121),inhibitory synapse (GO:0060077),actin filament (GO:0005884),apical dendrite (GO:0097440),dendrite cytoplasm (GO:0032839),cytosolic small ribosomal subunit (GO:0022627),neuron projection cytoplasm (GO:0120111),mitochondrial respiratory chain complex I (GO:0005747),cortical actin cytoskeleton (GO:0030864),respiratory chain complex I (GO:0045271),small ribosomal subunit (GO:0015935),basolateral plasma membrane (GO:0016323),azurophil granule (GO:0042582),U2-type precatalytic spliceosome (GO:0071005),spliceosomal snRNP complex (GO:0097525),precatalytic spliceosome (GO:0071011),extracellular membrane-bounded organelle (GO:0065010),secretory granule lumen (GO:0034774),anchored component of external side of plasma membrane (GO:0031362),postsynaptic density membrane (GO:0098839),U2 snRNP (GO:0005686),extracellular vesicle (GO:1903561),postsynaptic specialization membrane (GO:0099634),cytoplasmic stress granule (GO:0010494),endocytic vesicle (GO:0030139),intrinsic component of external side of plasma membrane (GO:0031233),excitatory synapse (GO:0060076),peroxisome (GO:0005777),adherens junction (GO:0005912),nucleolus (GO:0005730),catenin complex (GO:0016342),nuclear lumen (GO:0031981),nuclear chromosome (GO:0000228),U2-type spliceosomal complex (GO:0005684),azurophil granule lumen (GO:0035578),neuromuscular junction (GO:0031594),lysosomal membrane (GO:0005765),alpha DNA polymerase:primase complex (GO:0005658),apicolateral plasma membrane (GO:0016327),filtration diaphragm (GO:0036056),slit diaphragm (GO:0036057),"asymmetric, glutamatergic, excitatory synapse (GO:0098985)",symmetric synapse (GO:0032280),vacuolar membrane (GO:0005774),anchored component of plasma membrane (GO:0046658),microtubule (GO:0005874),lytic vacuole membrane (GO:0098852),acrosomal vesicle (GO:0001669)
AGAP3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANXA2,NA,NA,9.684543036010805e-8,1.2224867283911194e-7,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,0.0013589240060218853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005348380526349494,0.005964789641316489,NA,NA,NA,NA,0.009266647757821765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016775685356189098,NA,NA,NA,NA,NA,0.029230795457917062,NA,0.036336082695674614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048641919280447504,NA
ANXA5,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANXA6,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036336082695674614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048641919280447504,NA
ARF1,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP1A1,NA,NA,NA,1.2224867283911194e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013589240060218853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005348380526349494,NA,NA,NA,NA,0.008265456302191646,NA,NA,NA,NA,0.009538998376194626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP6V1G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043770139347624484,NA,NA,NA,NA
BASP1,NA,NA,9.684543036010805e-8,1.2224867283911194e-7,2.2861869497751196e-6,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMK2A,NA,NA,NA,NA,NA,3.800102639337469e-6,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01334502914769997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAPZB,NA,NA,9.684543036010805e-8,NA,2.2861869497751196e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.888761667552871e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009266647757821765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015147897172760267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBR1,NA,NA,NA,1.2224867283911194e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008265456302191646,NA,NA,NA,NA,0.009538998376194626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDH13,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,3.800102639337469e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021980688619619358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CELF2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLIC1,NA,NA,NA,1.2224867283911194e-7,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSRP2,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXADR,NA,NA,NA,NA,NA,3.800102639337469e-6,NA,NA,NA,NA,6.928833644554629e-5,NA,NA,3.786070600396087e-4,NA,NA,NA,NA,NA,0.0013589240060218853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005348380526349494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016775685356189098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03645982524307186,NA,NA,NA,NA,NA,NA,NA,NA,0.049165472260471334
DBN1,NA,NA,9.684543036010805e-8,NA,2.2861869497751196e-6,3.800102639337469e-6,4.372312659917682e-6,NA,6.023696628066593e-5,NA,NA,1.2514317903925638e-4,NA,NA,5.718571791942402e-4,5.888761667552871e-4,NA,9.20907870764524e-4,NA,NA,NA,0.002005337341763186,NA,NA,NA,NA,NA,0.003690296410463604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBNL,NA,NA,9.684543036010805e-8,NA,NA,3.800102639337469e-6,4.372312659917682e-6,NA,6.023696628066593e-5,NA,NA,1.2514317903925638e-4,NA,NA,5.718571791942402e-4,5.888761667552871e-4,NA,9.20907870764524e-4,NA,NA,NA,0.002005337341763186,NA,NA,NA,NA,NA,0.003690296410463604,NA,NA,NA,NA,NA,NA,NA,NA,0.009266647757821765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCHS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016775685356189098,NA,0.021980688619619358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTPP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCX,NA,NA,9.684543036010805e-8,NA,2.2861869497751196e-6,3.800102639337469e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DHX15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,0.0011357112949268524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLG2,NA,NA,NA,NA,NA,3.800102639337469e-6,NA,NA,6.023696628066593e-5,NA,NA,NA,NA,NA,5.718571791942402e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005348380526349494,NA,NA,NA,NA,NA,NA,NA,0.009469700879568528,NA,NA,0.01041610521460757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03213585228929938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLG4,NA,NA,NA,NA,2.2861869497751196e-6,3.800102639337469e-6,4.372312659917682e-6,NA,6.023696628066593e-5,NA,NA,NA,NA,NA,5.718571791942402e-4,NA,NA,9.20907870764524e-4,NA,NA,NA,NA,NA,0.002863318100961287,NA,0.00341934827151681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009469700879568528,NA,NA,0.01041610521460757,NA,0.01334502914769997,NA,0.014595981111558798,NA,NA,NA,NA,NA,NA,NA,NA,0.03213585228929938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNAJC9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEF1D,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXOSC6,NA,NA,9.684543036010805e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020492086796848975,NA,0.02276813765974683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZR,1.1432395503744483e-15,1.7072580506416662e-15,NA,1.2224867283911194e-7,2.2861869497751196e-6,NA,4.372312659917682e-6,NA,NA,NA,6.928833644554629e-5,1.2514317903925638e-4,NA,3.786070600396087e-4,NA,5.888761667552871e-4,8.38743568172503e-4,NA,NA,0.0013589240060218853,NA,0.002005337341763186,NA,NA,NA,NA,NA,NA,NA,NA,0.005348380526349494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FABP5,NA,NA,NA,NA,NA,NA,NA,NA,6.023696628066593e-5,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,5.718571791942402e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005964789641316489,NA,NA,NA,NA,0.009266647757821765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029230795457917062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLNA,1.1432395503744483e-15,1.7072580506416662e-15,9.684543036010805e-8,NA,2.2861869497751196e-6,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,5.888761667552871e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020492086796848975,NA,0.02276813765974683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLNC,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3BP1,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012412392597478068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3BP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012412392597478068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GANAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNB1,NA,NA,NA,1.2224867283911194e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008265456302191646,NA,NA,NA,NA,0.009538998376194626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036336082695674614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048641919280447504,NA
GRHPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015147897172760267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSK3A,NA,NA,NA,NA,NA,3.800102639337469e-6,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,9.20907870764524e-4,NA,NA,NA,NA,0.002354117328323827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSTP1,NA,NA,NA,1.2224867283911194e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009266647757821765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPB1,1.1432395503744483e-15,1.7072580506416662e-15,9.684543036010805e-8,NA,2.2861869497751196e-6,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGSF21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014790894278400844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009469700879568528,NA,NA,NA,NA,NA,NA,0.013493131940864177,NA,NA,0.016775685356189098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04554261164067641,NA,NA,NA
IQGAP1,1.1432395503744483e-15,1.7072580506416662e-15,NA,NA,2.2861869497751196e-6,3.800102639337469e-6,NA,NA,NA,6.867937709825721e-5,NA,1.2514317903925638e-4,2.772630622932687e-4,NA,NA,5.888761667552871e-4,NA,NA,NA,NA,NA,0.002005337341763186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03645982524307186,0.03645982524307186,NA,NA,NA,NA,0.04646038459191449,NA,NA
LDHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013589240060218853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSM3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.867937709825721e-5,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006035329465923697,0.0063782172069392655,0.006732506419860662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02840631185008129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP1LC3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.772630622932687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043770139347624484,NA,NA,NA,NA
MAP1S,NA,NA,9.684543036010805e-8,NA,NA,3.800102639337469e-6,NA,NA,NA,6.867937709825721e-5,NA,1.2514317903925638e-4,2.772630622932687e-4,NA,NA,NA,NA,9.20907870764524e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020492086796848975,NA,0.02276813765974683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04646038459191449,NA,NA
MAP2,NA,NA,NA,NA,NA,3.800102639337469e-6,NA,NA,NA,NA,6.928833644554629e-5,NA,NA,NA,NA,NA,NA,9.20907870764524e-4,NA,NA,NA,NA,0.002354117328323827,0.002863318100961287,NA,0.00341934827151681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
